docname,topic,proportion
Bible_page_1762.txt,005,0.825499
Bible_page_1762.txt,002,0.174501
Taoist_page_27.txt,008,0.572795
Taoist_page_27.txt,031,0.261985
Taoist_page_27.txt,012,0.16522
Bible_page_1480.txt,006,0.5501
Bible_page_1480.txt,002,0.229891
Bible_page_1480.txt,014,0.117674
Bible_page_1480.txt,028,0.102335
Bible_page_2238.txt,011,0.488433
Bible_page_2238.txt,024,0.373784
Bible_page_2238.txt,003,0.105165
Bible_page_2238.txt,000,0.032618
Bible_page_1771.txt,005,0.732808
Bible_page_1771.txt,019,0.163419
Bible_page_1771.txt,014,0.103774
Bible_page_192.txt,013,0.636418
Bible_page_192.txt,033,0.186411
Bible_page_192.txt,017,0.177171
GuruGranth_page_270.txt,001,0.922505
GuruGranth_page_270.txt,021,0.051938
GuruGranth_page_270.txt,025,0.025557
Bible_page_377.txt,017,0.716235
Bible_page_377.txt,034,0.183146
Bible_page_377.txt,013,0.100619
GuruGranth_page_1394.txt,021,0.517941
GuruGranth_page_1394.txt,004,0.234606
GuruGranth_page_1394.txt,001,0.187266
GuruGranth_page_1394.txt,007,0.03445
GuruGranth_page_1394.txt,006,0.025738
GuruGranth_page_299.txt,021,0.385731
GuruGranth_page_299.txt,001,0.383909
GuruGranth_page_299.txt,004,0.132338
GuruGranth_page_299.txt,012,0.054981
GuruGranth_page_299.txt,000,0.043041
Taoist_page_59.txt,007,0.662737
Taoist_page_59.txt,031,0.337263
Bible_page_2084.txt,024,0.857208
Bible_page_2084.txt,003,0.142792
GuruGranth_page_73.txt,006,0.609984
GuruGranth_page_73.txt,012,0.145372
GuruGranth_page_73.txt,021,0.145035
GuruGranth_page_73.txt,003,0.059752
GuruGranth_page_73.txt,010,0.039857
Bible_page_769.txt,015,0.502557
Bible_page_769.txt,018,0.340118
Bible_page_769.txt,009,0.157325
Bible_page_414.txt,002,0.37093
Bible_page_414.txt,019,0.355984
Bible_page_414.txt,009,0.249985
Bible_page_414.txt,013,0.023101
Bible_page_1909.txt,005,0.486475
Bible_page_1909.txt,009,0.386617
Bible_page_1909.txt,006,0.064022
Bible_page_1909.txt,022,0.062886
GuruGranth_page_786.txt,006,0.561451
GuruGranth_page_786.txt,004,0.418429
GuruGranth_page_786.txt,007,0.020119
Bible_page_461.txt,002,0.274317
Bible_page_461.txt,013,0.269295
Bible_page_461.txt,022,0.210274
Bible_page_461.txt,017,0.120369
Bible_page_461.txt,003,0.110979
Bible_page_461.txt,005,0.014767
GuruGranth_page_819.txt,001,0.568923
GuruGranth_page_819.txt,021,0.327923
GuruGranth_page_819.txt,006,0.103155
GuruGranth_page_220.txt,004,0.553702
GuruGranth_page_220.txt,012,0.25015
GuruGranth_page_220.txt,021,0.105664
GuruGranth_page_220.txt,006,0.090484
GuruGranth_page_1310.txt,021,0.644021
GuruGranth_page_1310.txt,012,0.216983
GuruGranth_page_1310.txt,001,0.067699
GuruGranth_page_1310.txt,000,0.036326
GuruGranth_page_1310.txt,030,0.034971
Taoist_page_140.txt,031,0.84439
Taoist_page_140.txt,007,0.15561
Gita_page_64.txt,007,1.0
Bible_page_1151.txt,013,0.498461
Bible_page_1151.txt,010,0.284126
Bible_page_1151.txt,000,0.217413
GuruGranth_page_345.txt,012,0.785014
GuruGranth_page_345.txt,021,0.085008
GuruGranth_page_345.txt,007,0.055246
GuruGranth_page_345.txt,001,0.050918
GuruGranth_page_345.txt,006,0.023815
Bible_page_2112.txt,024,0.55007
Bible_page_2112.txt,018,0.140458
Bible_page_2112.txt,011,0.1245
Bible_page_2112.txt,002,0.106448
Bible_page_2112.txt,001,0.078523
Bible_page_709.txt,002,0.639086
Bible_page_709.txt,027,0.180302
Bible_page_709.txt,014,0.175145
Bible_page_709.txt,010,0.005467
GuruGranth_page_273.txt,001,0.431108
GuruGranth_page_273.txt,021,0.197883
GuruGranth_page_273.txt,012,0.170106
GuruGranth_page_273.txt,004,0.167448
GuruGranth_page_273.txt,007,0.033455
Bible_page_1231.txt,000,0.285003
Bible_page_1231.txt,025,0.256849
Bible_page_1231.txt,027,0.183127
Bible_page_1231.txt,002,0.145127
Bible_page_1231.txt,005,0.129894
GuruGranth_page_255.txt,001,0.423182
GuruGranth_page_255.txt,004,0.309186
GuruGranth_page_255.txt,006,0.180923
GuruGranth_page_255.txt,012,0.08671
GuruGranth_page_1343.txt,004,0.527543
GuruGranth_page_1343.txt,012,0.320953
GuruGranth_page_1343.txt,003,0.088988
GuruGranth_page_1343.txt,008,0.058514
